,0
0,F
1,A
2,E
3,E
4,A
5,C
6,C
7,B
8,A
9,E
10,B
11,E
12,A
13,B
14,F
15,F
16,A
17,F
18,A
19,C
20,D
21,A
22,F
23,B
24,A
25,E
26,D
27,E
28,E
29,F
30,B
31,F
32,C
33,F
34,D
35,E
36,F
37,A
38,C
39,B
40,C
41,F
42,B
43,C
44,B
45,D
46,D
47,A
48,D
49,D
50,E
51,F
52,C
53,D
54,A
55,C
56,C
57,F
58,B
59,A
60,A
61,F
62,C
63,E
64,A
65,B
66,C
67,A
68,E
69,F
70,B
71,C
72,F
73,F
74,A
75,F
76,A
77,C
78,F
79,D
80,B
81,B
82,E
83,B
84,B
85,C
86,D
87,A
88,F
89,A
90,A
91,F
92,A
93,A
94,B
95,C
96,B
97,F
98,C
99,F
100,C
101,E
102,B
103,C
104,C
105,D
106,F
107,E
108,B
109,C
110,D
111,D
112,A
113,F
114,D
115,E
116,F
117,D
118,A
119,A
120,C
121,A
122,F
123,A
124,C
125,F
126,C
127,F
128,F
129,F
130,D
131,C
132,D
133,C
134,F
135,A
136,F
137,B
138,E
139,D
140,E
141,A
142,C
143,A
144,D
145,C
146,A
147,A
148,F
149,A
150,C
151,F
152,E
153,C
154,A
155,A
156,B
157,A
158,A
159,A
160,C
161,A
162,C
163,D
164,F
165,E
166,D
167,C
168,B
169,B
170,C
171,F
172,F
173,A
174,C
175,C
176,B
177,D
178,C
179,F
180,B
181,A
182,C
183,A
184,A
185,B
186,C
187,F
188,E
189,B
190,A
191,F
192,B
193,B
194,F
195,B
196,C
197,C
198,A
199,B
200,A
201,C
202,C
203,A
204,A
205,A
206,B
207,D
208,E
209,F
210,B
211,B
212,C
213,A
214,C
215,C
216,A
217,F
218,F
219,A
220,A
221,A
222,B
223,C
224,F
225,A
226,C
227,C
228,A
229,F
230,F
231,C
232,F
233,E
234,E
235,C
236,A
237,E
238,B
239,C
240,F
241,F
242,C
243,F
244,C
245,E
246,B
247,C
248,C
249,F
250,A
251,A
252,F
253,E
254,F
255,F
256,F
257,A
258,D
259,F
260,E
261,A
262,C
263,E
264,F
265,E
266,F
267,E
268,E
269,A
270,C
271,C
272,D
273,F
274,C
275,B
276,A
277,A
278,F
279,A
280,F
281,C
282,A
283,D
284,A
285,F
286,A
287,E
288,E
289,C
290,B
291,F
292,F
293,D
294,F
295,F
296,F
297,F
298,E
299,C
300,E
301,F
302,D
303,A
304,F
305,E
306,B
307,D
308,C
309,C
310,C
311,C
312,E
313,B
314,A
315,F
316,C
317,C
318,E
319,B
320,E
321,E
322,B
323,A
324,F
325,F
326,F
327,C
328,A
329,C
330,A
331,C
332,C
333,C
334,F
335,C
336,D
337,F
338,A
339,C
340,A
341,B
342,F
343,F
344,E
345,E
346,B
347,C
348,A
349,A
350,C
351,F
352,C
353,A
354,B
355,A
356,F
357,E
358,F
359,F
360,B
361,F
362,A
363,C
364,B
365,A
366,C
367,F
368,A
369,C
370,E
371,C
372,E
373,F
374,C
375,C
376,A
377,D
378,C
379,C
380,C
381,F
382,F
383,F
384,A
385,A
386,F
387,F
388,A
389,A
390,C
391,F
392,A
393,F
394,A
395,A
396,C
397,F
398,C
399,E
400,A
401,A
402,F
403,B
404,A
405,E
406,C
407,F
408,F
409,B
410,C
411,F
412,A
413,C
414,B
415,E
416,F
417,A
418,D
419,F
420,F
421,F
422,C
423,E
424,C
425,A
426,E
427,C
428,E
429,F
430,E
431,C
432,A
433,B
434,B
435,C
436,D
437,F
438,C
439,F
440,C
441,D
442,C
443,C
444,C
445,C
446,F
447,F
448,B
449,D
450,F
451,A
452,A
453,F
454,A
455,A
456,B
457,C
458,C
459,F
460,A
461,B
462,C
463,A
464,B
465,C
466,C
467,B
468,C
469,E
